created_in_catalog,id,rating,company_id,company_name,company_code,region,city,street,housenumber,answer_response_time
2024-09-21,354407043,1.0,1235471,ЭТМ,37,Санкт-Петербург,посёлок Шушары,Ленсоветовская дорога,12к2Б,14279.894891
2024-09-21,354407104,5.0,1099011,ЭТМ,ETM101,Новгородская область,Великий Новгород,Нехинская,59,25102.214997
2024-09-21,354407057,5.0,1235444,ЭТМ,9,Калужская область,Калуга,Сельский переулок,2А,25097.581362
2024-09-21,354407107,5.0,1099016,ЭТМ,ETM4240,Санкт-Петербург,Санкт-Петербург,Ленинский проспект,90,25062.454895
2024-09-21,354393169,5.0,1235482,ЭТМ,48,Ленинградская область,Тосно,проспект Ленина,19,28748.053195
2024-09-21,354407093,5.0,1099073,ЭТМ,ETM25130,Ростовская область,Ростов-на-Дону,проспект Стачки,170,24975.171386
2024-09-21,353156636,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,141908.838504
2024-09-21,354407048,5.0,1235469,ЭТМ,35,Рязанская область,Рязань,Окружная дорога 196 км,ст6,24969.737172
2024-09-21,353137544,1.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,172567.020818
2024-09-21,354407105,5.0,1099017,ЭТМ,ETM4250,Санкт-Петербург,Санкт-Петербург,проспект Большевиков,25,24876.489659
2024-09-21,353134209,1.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,152730.578712
2024-09-21,353213106,5.0,1235445,ЭТМ,11,Краснодарский край,Краснодар,Московская,69/9,86022.916622
2024-09-21,353127940,1.0,1099117,ЭТМ,ETM24140,Самарская область,Самара,Московское шоссе,306А,166764.857059
2024-09-21,354563287,1.0,1099117,ЭТМ,ETM24140,Самарская область,Самара,Московское шоссе,306А,99632.567671
2024-09-21,353127014,1.0,1099117,ЭТМ,ETM24140,Самарская область,Самара,Московское шоссе,306А,167873.708087
2024-09-21,353127194,5.0,1099101,ЭТМ,ETM71100,Омская область,Омск,проспект Мира,71/3,161735.276982
2024-09-21,353105289,1.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,264102.209945
2024-09-21,354407091,4.0,1099054,ЭТМ,ETM27130,Краснодарский край,Краснодар,Селезнёва,16/1,24857.283621
2024-09-21,353100200,5.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,
2024-09-21,354407106,5.0,1099017,ЭТМ,ETM4250,Санкт-Петербург,Санкт-Петербург,проспект Большевиков,25,24740.145982
2024-09-21,354370337,5.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,35671.529913
2024-09-21,354407082,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,24447.965837
2024-09-21,353172082,4.0,1099029,ЭТМ,ETM5100,Свердловская область,Екатеринбург,Бисертская,134,316457.278251
2024-09-21,353172059,1.0,1235471,ЭТМ,37,Санкт-Петербург,посёлок Шушары,Ленсоветовская дорога,12к2Б,766611.055525
2024-09-20,352995552,5.0,1293871,ЭТМ,49,Республика Башкортостан,Уфа,улица Минигали Губайдуллина,14/1 (или 2/1),
2024-09-20,353168094,3.0,1099118,ЭТМ,ETM4230,Санкт-Петербург,Санкт-Петербург,Софийская,8 к1,139626.825358
2024-09-20,354370336,5.0,1099041,ЭТМ,ETM102,Самарская область,Самара,Гаражная,5,262920.893088
2024-09-20,354387794,5.0,1099042,ЭТМ,ETM12150,Московская область,Одинцово,Транспортная,8,31003.604658
2024-09-20,354387791,5.0,1099145,ЭТМ,ETM4320,Санкт-Петербург,Санкт-Петербург,проспект Энгельса,158к4ст1,30982.161056
2024-09-20,354407100,5.0,1099041,ЭТМ,ETM102,Самарская область,Самара,Гаражная,5,273597.726662
2024-09-20,352931009,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,
2024-09-20,354370129,5.0,1235441,ЭТМ,6,Воронежская область,село Айдарово,улица Промышленная,1/11,34659.06665
2024-09-20,354370338,5.0,1099040,ЭТМ,ETM24121,Самарская область,посёлок городского типа Стройкерамика,Пожарный проезд,1,280842.339147
2024-09-20,354364339,5.0,2281358,ЭТМ,new11,Псковская область,Псков,Рижский проспект,94В,36660.121347
2024-09-20,353137633,4.0,1099117,ЭТМ,ETM24140,Самарская область,Самара,Московское шоссе,306А,154956.137585
2024-09-20,352842378,5.0,1099156,ЭТМ,ETM11140,Челябинская область,Челябинск,улица Артиллерийская,1Б,230279.507103
2024-09-20,354387795,5.0,1099040,ЭТМ,ETM24121,Самарская область,посёлок городского типа Стройкерамика,Пожарный проезд,1,269958.856343
2024-09-20,352794741,4.0,1099028,ЭТМ,ETM5140,Свердловская область,Екатеринбург,Базовый переулок,47,241651.906113
2024-09-20,352762632,5.0,1099032,ЭТМ,ETM5160,Свердловская область,Екатеринбург,улица Победы,94,1013.35327
2024-09-20,352762633,5.0,1099038,ЭТМ,ETM19120,Пермский край,Пермь,Трамвайная улица,33к6,
2024-09-20,353100095,5.0,1235471,ЭТМ,37,Санкт-Петербург,посёлок Шушары,Ленсоветовская дорога,12к2Б,374305.158666
2024-09-20,352726062,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,3364.235435
2024-09-20,352726065,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,2407.586386
2024-09-20,352727392,1.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,2947.755057
2024-09-20,352710650,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,2447.385865
2024-09-20,352709252,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,455.889467
2024-09-20,352709253,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,2599.063102
2024-09-20,352692840,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,341.144666
2024-09-20,352692842,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,279076.87722
2024-09-20,352692843,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,380.547199
2024-09-20,352692844,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,446.087796
2024-09-20,352694226,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,2454.951788
2024-09-20,352692845,5.0,1099046,ЭТМ,ETM73100,Алтайский край,Барнаул,Взлётная,2к,633.621975
2024-09-20,352694227,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,2585.229139
2024-09-20,352694397,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,
2024-09-20,352694398,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,
2024-09-20,352694399,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,3231.720754
2024-09-20,352694400,5.0,1099100,ЭТМ,ETM75100,Кемеровская область,Новокузнецк,ДОЗ,19 к2а,
2024-09-20,352694402,5.0,1099124,ЭТМ,ETM70120,Новосибирская область,Новосибирск,Оловозаводская,20 к1,3451.523906
2024-09-20,352694228,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,3781.158065
2024-09-20,352694229,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,3828.587092
2024-09-20,352694230,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,3898.320463
2024-09-20,354370140,5.0,1099151,ЭТМ,ETM33100,Тюменская область,Тюмень,Ветеранов Труда,40 ст1,280923.184962
