IDTrafficSource|NameTrafficSource
0|Email-рассылка
1|Внутренние переходы
2|Другие источники
3|Не определено
4|Платный трафик
5|Прямой трафик
6|Рекомендованный трафик
7|Трафик из поисковых систем (Google)
8|Трафик из поисковых систем (Другие системы)
9|Трафик из поисковых систем (Яндекс)
10|Трафик из соцсетей
