CampaignID|Campaign_name
104195524|y_shop_category-svetotehnika_dv_mako_cpa
104051368|y_dsa_category-odezhda_dv_mako_cpa
104194624|y_shop_category-izdelija_dv_mako_cpa
104051368|y_dsa_category-odezhda_dv_mako
111637002|y_search_category-epk-svetotehnika_dv_mako_poisk
104742705|y_shop_category-instrument_dv_mako_cpa
106594073|y_dsa_category-vodosnabzhenie_dv_mako_cpa
104051179|y_dsa_category-izdelija_dv_mako_cpa
104194107|y_shop_category-kabel_dv_mako_cpa
105401359|y_search_category-epk-izdelija_dv_mako
104906149|y_search_category-epk-kabel_dv_mako
104051367|y_dsa_category-kabel_dv_mako_cpa
105401376|y_search_category-epk-instrument_dv_mako
106304181|y_search_category-sistemy-videonabljudenija-top_article_rf
97897060|y_smartbanner-retargeting_category-sistemy-videonabljudenija_rf
107181742|y_network_category-sistemy-videonabljudenija-top_article_rf
110608534|y_epk_category-sistemy-videonabljudenija_rf
99400195|y_network_category-sistemy-videonabljudenija_rf
100385947|y_shop_category-sistemy-videonabljudenija_spb
104238533|y_dsa-search_category-sistemy-videonabljudenija_rf
97874902|y_search_category-sistemy-videonabljudenija_rf
104238532|y_dsa-search_category-sistemy-videonabljudenija-top_rf
103779472|y_dsa-shop_category-sistemy-videonabljudenija_rf
104268645|y_search_category-sistemy-videonabljudenija-article_rf
99860572|y_mk_category-sistemy-videonabljudenija_rf
103235227|y_dsa-shop_category-sistemy-videonabljudenija-top_rf
112036313|y_shop_category-sistemy-videonabljudenija_spb
101329672|y_shop_category-sistemy-videonabljudenija_kzn
101328692|y_shop_category-sistemy-videonabljudenija_sam
99525063|y_network_retargeting-sistemy-videonabljudenija_rf
101332326|y_shop_category-sistemy-videonabljudenija_vrn
98794445|y_shop_category-sistemy-videonabljudenija-top_rnd
100808172|y_smartbanner-lal_category-sistemy-videonabljudenija_rf
98788661|y_shop_category-sistemy-videonabljudenija-top_nsk
112335316|y_epk-shop_category-sistemy-videonabljudenija_rf
111786208|y_epk_search-ret_category-sistemy-videonabljudenija_rf
98744686|y_shop_category-sistemy-videonabljudenija-all_spb
97952579|y_shop_category-sistemy-videonabljudenija-top_msk
100386120|y_shop_category-sistemy-videonabljudenija_msk
111786809|y_epk_network-ret_category-sistemy-videonabljudenija_rf
100808086|y_shop_category-sistemy-videonabljudenija-top_ekb
100388508|y_shop_category-sistemy-videonabljudenija_nsk
100809691|y_dsa_category-sistemy-videonabljudenija_rf
101455567|y_mk-feed_category-svetotekhnicheskie-izdeliya_kazan
103877046|y_smartbanner-retargeting_category-ust-izd-obshch-naznacheniya_rf
101161687|y_network_category-ust-izd-obshch-naznacheniya_rf
101446236|y_mk-feed_category-ust-izd-obshch-naznacheniya_ekb
101445951|y_mk-feed_category-ust-izd-obshch-naznacheniya_nsk
101430464|y_mk-feed_category-nizkovoltnoe-oborudovanie_voronezh
100903833|y_search_category-nizkovoltnoe-oborudovanie_sibir
103878279|y_smartbanner-retargeting_category-svetotekhnicheskie-izdeliya_rf
104833951|y_dsa-tovarnaya_category-ust-izd-obshch-naznacheniya_rf
101439691|y_mk-feed_category-ust-izd-obshch-naznacheniya_mskmo
112867165|y_dsa-tovarnaya_category-all_tver
104758745|y_dsa-tovarnaya_category-nizkovoltnoe-oborudovanie_rf
101445922|y_mk-feed_category-ust-izd-obshch-naznacheniya_voronezh
101161677|y_network_category-nizkovoltnoe-oborudovanie_rf
100821908|y_search_category-nizkovoltnoe-oborudovanie_mskmo
112867278|y_smartbanner-tovarnaya_category-all_tver
101455598|y_mk-feed_category-svetotekhnicheskie-izdeliya_voronezh
101451985|y_mk-feed_category-svetotekhnicheskie-izdeliya_mskmo
103876781|y_smartbanner-retargeting_category-nizkovoltnoe-oborudovanie_rf
104834176|y_dsa-tovarnaya_category-svetotekhnicheskie-izdeliya_rf
101161695|y_network_category-svetotekhnicheskie-izdeliya_rf
101455660|y_mk-feed_category-svetotekhnicheskie-izdeliya_rnd
101161662|y_network_category-ust-izd-obshch-naznacheniya_sevzap
101455757|y_mk-feed_category-svetotekhnicheskie-izdeliya_ekb
101455638|y_mk-feed_category-svetotekhnicheskie-izdeliya_nsk
101446159|y_mk-feed_category-ust-izd-obshch-naznacheniya_samara
101445758|y_mk-feed_category-ust-izd-obshch-naznacheniya_spblo
101158629|y_network_category-nizkovoltnoe-oborudovanie_mskmo
101161605|y_network_category-nizkovoltnoe-oborudovanie_spblo
101455541|y_mk-feed_category-svetotekhnicheskie-izdeliya_spblo
111318362|y_mk-feed_category-telekommunikacionnoe-oborudovanie-i-sks_tver
101348019|y_search_category-nizkovoltnoe-oborudovanie_rf
112809222|y_dsa-tovarnaya_category-vodoprovodnye-sistemy_tver
100903805|y_search_category-nizkovoltnoe-oborudovanie_yug
101445897|y_mk-feed_category-ust-izd-obshch-naznacheniya_kazan
111325473|y_mk-feed_category-bezopasnost-i-sks_tver
101348030|y_search_category-svetotekhnicheskie-izdeliya_rf
101455729|y_mk-feed_category-svetotekhnicheskie-izdeliya_samara
112811121|y_dsa-tovarnaya_category-instrument_tver
100893958|y_search_category-svetotekhnicheskie-izdeliya_mskmo
112867969|y_dsa-tovarnaya_category-videocamera_nsk
112867966|y_dsa-tovarnaya_category-videocamera_spb
112811741|y_dsa-tovarnaya_category-videocamera_msk
100899205|y_search_category-nizkovoltnoe-oborudovanie_spblo
113200292|y_smart-bannery-retargeting_category-kabeli-provoda_tver
100903768|y_search_category-svetotekhnicheskie-izdeliya_sevzap
100903875|y_search_category-ust-izd-obshch-naznacheniya_ural
100903884|y_search_category-svetotekhnicheskie-izdeliya_ural
101435553|y_mk-feed_category-nizkovoltnoe-oborudovanie_rnd
100903863|y_search_category-nizkovoltnoe-oborudovanie_ural
100903737|y_search_category-nizkovoltnoe-oborudovanie_centr
101435556|y_mk-feed_category-nizkovoltnoe-oborudovanie_ekb
101426990|y_mk-feed_category-nizkovoltnoe-oborudovanie_spblo
101435554|y_mk-feed_category-nizkovoltnoe-oborudovanie_samara
101435552|y_mk-feed_category-nizkovoltnoe-oborudovanie_nsk
