IDprocess|Date|Mark|Clicode
3552952|2024-09-03 10:07:04|5|690041650
3553268|2024-09-03 10:42:25|5|690041650
3555192|2024-09-03 15:55:20|5|22225360
3576556|2024-09-11 13:22:51|1|90028582
3663370|2024-10-11 14:12:18|5|330075359
3677144|2024-10-16 21:48:42|5|22225360
